deeper,drone,weekend,date
58,115,1,24/01/2021
47,108,1,23/01/2021
32,51,0,21/01/2021
30,180,1,30/01/2021
16,56,1,28/03/2020
9,75,0,16/06/2020
8,96,1,27/06/2020
8,144,1,7/06/2020
8,75,1,9/05/2020
7,138,0,26/05/2020
7,36,0,5/05/2020
7,12,1,25/04/2020
7,7,0,24/04/2020
6,77,1,21/11/2020
5,43,0,30/11/2020
5,72,1,3/10/2020
5,88,1,19/09/2020
5,54,0,24/07/2020
4,176,1,24/10/2020
4,69,1,22/08/2020
4,58,0,14/08/2020
4,125,1,30/05/2020
4,121,0,21/05/2020
3,53,1,13/12/2020
3,116,0,5/11/2020
3,42,0,2/09/2020
3,78,1,18/07/2020
2,64,1,27/12/2020
2,50,0,4/08/2020
1,35,0,9/12/2020
1,87,0,14/10/2020
1,67,0,24/09/2020
1,47,0,28/08/2020
1,68,0,9/07/2020
1,92,0,15/05/2020
